,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
0,tv,control_minds,0.354,-0.042,0.007,-0.015,0.228,0.172,-0.046,0.065,0.072,-0.063
1,tv,change_your_subjective_consciousness,0.123,0.05,0.017,0.052,0.096,0.021,-0.068,0.078,-0.019,0.2
2,tv,display_images,0.254,-0.004,-0.036,-0.039,0.118,-0.001,0.05,0.107,-0.036,0.048
3,tv,be_blaring,0.0,-0.056,0.021,0.047,0.099,-0.039,-0.058,-0.02,0.276,-0.003
4,tv,require_electricity,0.048,0.052,0.002,0.021,0.095,-0.002,-0.074,-0.012,0.018,-0.014
5,tv,Average,0.1558,-1.3877787807814458e-18,0.002200000000000001,0.0132,0.1272,0.030199999999999994,-0.0392,0.0436,0.06220000000000001,0.0336
