,Object,RelatedVerbs
0,refrigerator,"['keeping_food_cold', 'keeping_food_from_spoiling', 'causing_the_jello_to_jell', 'storing_foods', 'keep_food_cold', 'extending_the_life_of_perishables', 'chilling_food', 'chilling_drinks', 'keeping_meats_from_spoiling', 'keep_perishable_items_cold', 'preventing_food_from_going_bad', 'make_ice_cream', 'cooling_perishables', 'keeping_food_cool', 'keeping_vegetables_crisp', 'making_drinks_cool', 'cooling_drinks', ""posting_your_children's_art_work_on"", 'keeping_meat_fresh', 'keep_food_from_spoiling']"
1,remote,['remotely_control_a_TV']
2,tv,"['entertainment', 'watching_movies', 'watch_the_news', 'give_information', 'display_a_transmitted_image', 'learning', 'getting_information', 'watching_films', 'watching', 'watch_a_show', 'brainwashing_people_into_buying_stuff', 'being_entertained', 'watching_the_news', 'relaxation', 'advertising', 'listening_to', 'watch_movies', 'zoning_out', 'block_a_hole_in_the_wall', 'video_games']"
