,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
56,parking_meter,,0,0,0,0,0,0,0,0,0,0
57,parking_meter,Average,0,0,0,0,0,0,0,0,0,0
58,bench,,0,0,0,0,0,0,0,0,0,0
59,bench,Average,0,0,0,0,0,0,0,0,0,0
60,bird,sing,-0.051,0.046,-0.029,0.039,-0.016,0.129,-0.045,0.066,-0.026,0.045
61,bird,spread_the_wings,-0.039,0.144,0.002,-0.017,0.105,-0.006,0.022,0.166,-0.019,0.123
62,bird,chirp,0.115,0.004,0.014,0.037,0.006,-0.01,0.029,-0.031,-0.031,-0.002
63,bird,sing_a_song,0.008,-0.008,-0.049,0.025,0.017,0.098,-0.084,0.05,0.104,0.001
64,bird,be_a_pet,0.009,-0.015,0.029,0.078,0.15,-0.05,-0.08,-0.025,0.241,-0.001
65,bird,Average,0.0084,0.0342,-0.0066,0.0324,0.0524,0.0322,-0.0316,0.0452,0.0538,0.0332
66,cat,hunt_mice,0.035,-0.097,0,0.031,0.095,-0.067,-0.087,-0.047,0.305,-0.052
67,cat,drink_water,0.045,-0.049,0.036,-0.038,0.067,0.004,0.01,-0.026,0.041,-0.025
68,cat,catch_a_mouse,-0.011,-0.065,0.008,-0.029,0.055,0.045,-0.046,-0.024,0.002,0.003
69,cat,climb_up_a_tree,0.049,0.022,-0.041,-0.022,0.044,0.007,-0.017,-0.026,0.04,0.12
70,cat,corner_a_mouse,0.081,-0.077,-0.028,0.025,-0.006,-0.037,-0.001,-0.012,0.03,0.028
71,cat,Average,0.0398,-0.0532,-0.005,-0.0066,0.051,-0.0096,-0.0282,-0.027,0.0836,0.0148
72,dog,bark,0.072,-0.027,-0.081,0.002,0.054,0.088,0.061,-0.022,0.075,-0.084
73,dog,guard_your_house,0.045,-0.001,0.089,-0.021,-0.014,0.024,-0.011,0.049,-0.02,0.049
74,dog,be_a_pet,0.009,-0.015,0.029,0.078,0.15,-0.05,-0.08,-0.025,0.241,-0.001
75,dog,run,-0.005,0.042,0.019,0.053,0.056,0.109,0.003,0.187,-0.066,0.01
76,dog,guide_a_blind_person,0.012,-0.131,0.131,-0.017,0.045,0.037,-0.067,-0.007,-0.026,-0.01
77,dog,Average,0.0266,-0.0264,0.0374,0.019,0.0582,0.0416,-0.0188,0.0364,0.0408,-0.0072
78,horse,pull_a_cart,0.075,0.102,0.014,-0.043,0.008,-0.007,-0.003,0.006,0.307,0.111
79,horse,run_in_a_pasture,0.008,0.047,0.02,0.017,0.046,-0.033,-0.002,-0.038,0.164,-0.096
80,horse,jump_a_fence,0.078,0.059,-0.028,0,0.067,-0.051,0.061,-0.022,0.168,-0.005
81,horse,run_quickly,0.029,0.021,0.012,0.026,0.033,0.011,-0.035,0.078,0.072,-0.1
82,horse,jump_a_barrier,0.078,0.059,-0.028,0,0.067,-0.051,0.061,-0.022,0.168,-0.005
83,horse,Average,0.0536,0.0576,-0.002,6.94E-19,0.0442,-0.0262,0.0164,0.0004,0.1758,-0.019
84,sheep,graze,0.054,0.047,0.074,-0.004,0.072,-0.017,0.019,0.012,-0.066,0.086
85,sheep,live_in_a_field,0.012,0.064,0.243,-0.062,0.035,0.089,0.069,-0.048,0.111,0.065
