,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
269,ottoman,Average,-0.026,0.0212,0.0214,0.002,0.0518,-0.017,-0.0086,-0.0014,0.0622,0.0426
270,painting,Art,0,0,0,0,0,0,0,0,0,0
271,painting,expressing_yourself,-0.024,-0.001,0,0.053,-0.014,-0.052,-0.006,-0.018,-0.066,-0.042
272,painting,creating_a_work_of_art,-0.001,0.041,-0.03,-0.018,0.073,0.062,0,0.079,-0.086,-0.051
273,painting,expressing_artistically,-0.024,-0.001,0,0.053,-0.014,-0.052,-0.006,-0.018,-0.066,-0.042
274,painting,decorating,-0.002,0.077,0.102,-0.011,-0.003,0.097,-0.041,-0.026,-0.054,0.024
275,painting,Average,-0.0102,0.0232,0.0144,0.0154,0.0084,0.011,-0.0106,0.0034,-0.0544,-0.0222
276,pan,cooking,-0.023,0.035,0.031,0.033,0.098,0.707,0.048,0.029,-0.016,-0.002
277,pan,frying,-0.068,0.023,-0.028,0.017,-0.004,0.451,0.121,0.01,-0.001,-0.087
278,pan,frying_food,0.022,0.018,0.029,-0.004,-0.004,0.394,0.148,0.017,-0.049,-0.087
279,pan,fry_an_egg,-0.081,0.01,0.056,0.008,-0.011,0.65,0.217,0.016,-0.021,-0.056
280,pan,cooking_food,-0.028,0.004,0.011,0.055,0.09,0.511,0.022,0.013,-0.053,-0.003
281,pan,Average,-0.0356,0.018,0.0198,0.0218,0.0338,0.5426,0.1112,0.017,-0.028,-0.047
282,paper_towel_roll,,0,0,0,0,0,0,0,0,0,0
283,paper_towel_roll,Average,0,0,0,0,0,0,0,0,0,0
284,pen,writing_letters,-0.09,0.047,0.002,0.076,0.005,0.012,-0.021,-0.062,-0.056,0.032
285,pen,write_things_down,-0.086,0.052,0.001,0.047,0.041,0.078,0.02,-0.062,-0.005,0.02
286,pen,writing,-0.132,0.068,0.03,0.053,0.013,0.03,0.01,-0.064,-0.085,-0.01
287,pen,drawing,-0.057,-0.042,0,-0.025,-0.031,-0.036,-0.009,0.044,-0.001,0.027
288,pen,write_a_story,-0.086,0.052,0.001,0.047,0.041,0.078,0.02,-0.062,-0.005,0.02
289,pen,Average,-0.0902,0.0354,0.0068,0.0396,0.0138,0.0324,0.004,-0.0412,-0.0304,0.0178
290,pencil,write_something_on_paper,-0.086,0.052,0.001,0.047,0.041,0.078,0.02,-0.062,-0.005,0.02
291,pencil,doing_math,0.012,0.007,-0.058,0.055,0.002,-0.003,-0.041,0.002,-0.084,0.123
292,pencil,letter_writing,0.031,0.077,0.116,0.055,-0.048,-0.039,-0.068,-0.058,0.055,0.068
293,pencil,write_a_story,-0.086,0.052,0.001,0.047,0.041,0.078,0.02,-0.062,-0.005,0.02
294,pencil,writing,-0.132,0.068,0.03,0.053,0.013,0.03,0.01,-0.064,-0.085,-0.01
295,pencil,Average,-0.0522,0.0512,0.018,0.0514,0.0098,0.0288,-0.0118,-0.0488,-0.0248,0.0442
296,pepper_shaker,,0,0,0,0,0,0,0,0,0,0
297,pepper_shaker,Average,0,0,0,0,0,0,0,0,0,0
298,pillow,sleeping,0.036,-0.016,-0.042,-0.057,-0.013,0.039,-0.016,-0.007,-0.028,0.06
299,pillow,make_a_seat_softer,-0.048,-0.031,0.049,0.047,0.069,-0.006,-0.052,-0.024,0.312,-0.047
300,pillow,Average,-0.006,-0.0235,0.0035,-0.005,0.028,0.0165,-0.034,-0.0155,0.142,0.0065
301,plate,hold_food,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
302,plate,eating_from,0.005,0.062,-0.053,0.004,0.106,0.049,0.01,-0.043,0.051,0.031
303,plate,put_food_in,0.054,0.014,0.005,0.036,0.14,0.043,0.047,0.021,0.262,0.011
304,plate,holding_food,0.011,-0.004,-0.026,0.024,0.045,0.007,0.041,0.038,0.114,0.06
305,plate,holding_meal,0.011,-0.004,-0.026,0.024,0.045,0.007,0.041,0.038,0.114,0.06
306,plate,Average,0.0232,0.0118,-0.0132,0.0386,0.0654,0.022,0.0184,0.0018,0.1504,0.0352
307,plunger,,0,0,0,0,0,0,0,0,0,0
308,plunger,Average,0,0,0,0,0,0,0,0,0,0
309,poster,decorating_your_room,-0.002,0.077,0.102,-0.011,-0.003,0.097,-0.041,-0.026,-0.054,0.024
310,poster,Average,-0.002,0.077,0.102,-0.011,-0.003,0.097,-0.041,-0.026,-0.054,0.024
311,pot,make_soup,-0.016,-0.098,0.087,0.014,0.116,-0.057,-0.036,-0.065,0.153,-0.019
312,pot,pissing_in,0.072,-0.02,0.007,0.091,0.082,0.019,-0.012,-0.01,-0.065,-0.097
313,pot,storing_things_in,0.003,-0.055,-0.03,0.002,0.113,0.04,-0.013,0.061,0,0.05
314,pot,holding_water_while_boiling_it,0.011,-0.004,-0.026,0.024,0.045,0.007,0.041,0.038,0.114,0.06
315,pot,grow_plants,-0.05,-0.058,-0.017,-0.001,-0.008,0.014,-0.049,-0.009,0.118,0.106
316,pot,Average,0.004,-0.047,0.0042,0.026,0.0696,0.0046,-0.0138,0.003,0.064,0.02
317,potato,power_a_special_clock,0.057,-0.06,0.051,-0.021,0.049,0.011,-0.058,-0.097,0.049,-0.056
318,potato,eating,0.036,0.044,-0.055,0.028,0.001,0.107,0.059,-0.04,0.068,-0.022
319,potato,Average,0.0465,-0.008,-0.002,0.0035,0.025,0.059,0.0005,-0.0685,0.0585,-0.039
320,remote_control,control_a_device_from_a_distance,0.354,-0.042,0.007,-0.015,0.228,0.172,-0.046,0.065,0.072,-0.063
321,remote_control,change_the_channel,0.123,0.05,0.017,0.052,0.096,0.021,-0.068,0.078,-0.019,0.2
322,remote_control,turn_on_a_television,0.17,-0.023,0.032,-0.009,0.059,0.055,0.01,0.126,0.296,-0.015
323,remote_control,changing_television_program_from_a_distance,0.106,0.032,0.027,-0.017,0.031,-0.03,-0.047,0.094,-0.018,-0.017
324,remote_control,change_channels,0.123,0.05,0.017,0.052,0.096,0.021,-0.068,0.078,-0.019,0.2
325,remote_control,Average,0.1752,0.0134,0.02,0.0126,0.102,0.0478,-0.0438,0.0882,0.0624,0.061
326,room_decor,,0,0,0,0,0,0,0,0,0,0
327,room_decor,Average,0,0,0,0,0,0,0,0,0,0
328,safe,keeping_things_safe,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
329,safe,Average,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
330,salt_shaker,salting_food,-0.039,0.014,-0.049,0.041,0.027,0.053,0.059,0.009,-0.006,-0.054
331,salt_shaker,distributing_salt,-0.042,-0.052,0.015,-0.089,0.007,-0.011,0.004,-0.027,-0.008,-0.026
332,salt_shaker,season_some_food_with_salt,0.002,-0.041,0.055,-0.06,0.094,-0.054,-0.063,-0.016,0.1,-0.084
333,salt_shaker,storing_salt,0.003,-0.055,-0.03,0.002,0.113,0.04,-0.013,0.061,0,0.05
