,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
65,chair,be_touching_the_wall,0,-0.056,0.021,0.047,0.099,-0.039,-0.058,-0.02,0.276,-0.003
66,chair,head_a_committee,0.095,0,0.034,-0.021,0.027,-0.055,-0.028,0.097,0.148,0.068
67,chair,Average,0.03525,-0.033,0.001,0.0025,0.0665,-0.02825,-0.0455,0.029,0.193,0.00675
68,cloth,become_wet,0.023,0.036,0.013,0.055,0.099,0.063,-0.009,0.004,0.09,0.141
69,cloth,shine_metal,0.014,0.006,0.065,0.036,0.044,0.003,0.002,0.099,-0.052,0.016
70,cloth,cover_secret_objects,0.027,-0.058,0.005,0.048,0.064,0.108,0.038,-0.04,0.085,-0.034
71,cloth,clean_your_shoes,-0.124,0.02,-0.024,0.23,-0.019,0.082,0.032,0.07,0.137,0.061
72,cloth,Average,-0.015,0.001,0.01475,0.09225,0.047,0.064,0.01575,0.03325,0.065,0.046
73,coffee_machine,,0,0,0,0,0,0,0,0,0,0
74,coffee_machine,Average,0,0,0,0,0,0,0,0,0,0
75,coffee_table,,0,0,0,0,0,0,0,0,0,0
76,coffee_table,Average,0,0,0,0,0,0,0,0,0,0
77,counter_top,,0,0,0,0,0,0,0,0,0,0
78,counter_top,Average,0,0,0,0,0,0,0,0,0,0
79,credit_card,charge_an_annual_fee,0.101,-0.089,0.03,-0.003,0.022,0.085,-0.043,-0.001,0.111,0.016
80,credit_card,help_a_person_save_time,-0.075,0.027,0.009,0.002,0.257,0.076,0.052,-0.029,0.047,-0.032
81,credit_card,help_a_business_track_expenses,-0.075,0.027,0.009,0.002,0.257,0.076,0.052,-0.029,0.047,-0.032
82,credit_card,help_a_person_spend_money,-0.075,0.027,0.009,0.002,0.257,0.076,0.052,-0.029,0.047,-0.032
83,credit_card,help_a_business_track_purchases,-0.075,0.027,0.009,0.002,0.257,0.076,0.052,-0.029,0.047,-0.032
84,credit_card,Average,-0.0398,0.0038,0.0132,0.001,0.21,0.0778,0.033,-0.0234,0.0598,-0.0224
85,cup,hold_liquids,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
86,cup,store_liquid,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,-1
87,cup,Average,0.057,-0.019,0.0955,0.041,0.0345,0.0055,-0.0345,0.0585,0.0915,-0.493
88,curtains,block_light,0.031,-0.036,0.027,0.061,0.027,0.041,0.077,0.003,0.049,0.04
89,curtains,Average,0.031,-0.036,0.027,0.061,0.027,0.041,0.077,0.003,0.049,0.04
90,desk,,0,0,0,0,0,0,0,0,0,0
91,desk,Average,0,0,0,0,0,0,0,0,0,0
92,desk_lamp,,0,0,0,0,0,0,0,0,0,0
93,desk_lamp,Average,0,0,0,0,0,0,0,0,0,0
94,desktop,,0,0,0,0,0,0,0,0,0,0
95,desktop,Average,0,0,0,0,0,0,0,0,0,0
96,dining_table,,0,0,0,0,0,0,0,0,0,0
97,dining_table,Average,0,0,0,0,0,0,0,0,0,0
98,dish_sponge,,0,0,0,0,0,0,0,0,0,0
99,dish_sponge,Average,0,0,0,0,0,0,0,0,0,0
100,dog_bed,,0,0,0,0,0,0,0,0,0,0
101,dog_bed,Average,0,0,0,0,0,0,0,0,0,0
102,drawer,,0,0,0,0,0,0,0,0,0,0
103,drawer,Average,0,0,0,0,0,0,0,0,0,0
104,dresser,cosist_of_many_drawers,0.033,0.086,0.109,0.054,0.096,0.026,0.035,0.029,-0.099,0.043
105,dresser,Average,0.033,0.086,0.109,0.054,0.096,0.026,0.035,0.029,-0.099,0.043
106,dumbbell,,0,0,0,0,0,0,0,0,0,0
107,dumbbell,Average,0,0,0,0,0,0,0,0,0,0
108,egg,break_open,-0.053,0.449,0.007,0.025,0.08,0.006,-0.014,0.069,0.286,0.098
109,egg,stick_to_a_skillet,0.032,-0.034,-0.049,-0.026,0.152,-0.041,0.023,-0.008,-0.068,0.022
110,egg,Average,-0.0105,0.2075,-0.021,-0.0005,0.116,-0.0175,0.0045,0.0305,0.109,0.06
111,faucet,break,-0.143,1,0.023,0.024,-0.011,0.023,0.148,0.148,-0.001,0.031
112,faucet,wet_a_sink,-0.111,-0.016,-0.082,0.138,0.017,-0.053,-0.009,-0.079,0.05,-0.091
113,faucet,Average,-0.127,0.492,-0.0295,0.081,0.003,-0.015,0.0695,0.0345,0.0245,-0.03
114,floor,,0,0,0,0,0,0,0,0,0,0
115,floor,Average,0,0,0,0,0,0,0,0,0,0
116,floor_lamp,,0,0,0,0,0,0,0,0,0,0
117,floor_lamp,Average,0,0,0,0,0,0,0,0,0,0
118,footstool,,0,0,0,0,0,0,0,0,0,0
119,footstool,Average,0,0,0,0,0,0,0,0,0,0
120,fork,move_the_food_to_your_mouth,0.043,0.004,0.045,0.053,0.017,0.001,-0.032,-0.006,0.116,0.204
121,fork,be_in_a_road,-0.064,-0.082,0.055,-0.023,0.123,-0.041,-0.042,-0.053,0.16,-0.049
122,fork,hold_things,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
123,fork,Average,0.004666667,-0.029,0.044666667,0.045,0.043666667,-0.012,-0.040333333,-0.034666667,0.162333333,0.056333333
124,fridge,cool_food,0.032,0.049,0.043,-0.062,0.049,0.073,-0.004,0.045,0.086,0.041
125,fridge,Average,0.032,0.049,0.043,-0.062,0.049,0.073,-0.004,0.045,0.086,0.041
126,garbage_bag,,0,0,0,0,0,0,0,0,0,0
127,garbage_bag,Average,0,0,0,0,0,0,0,0,0,0
128,hand_towel,,0,0,0,0,0,0,0,0,0,0
129,hand_towel,Average,0,0,0,0,0,0,0,0,0,0
130,hand_towel_holder,,0,0,0,0,0,0,0,0,0,0
131,hand_towel_holder,Average,0,0,0,0,0,0,0,0,0,0
132,house_plant,,0,0,0,0,0,0,0,0,0,0
133,house_plant,Average,0,0,0,0,0,0,0,0,0,0
134,kettle,,0,0,0,0,0,0,0,0,0,0
135,kettle,Average,0,0,0,0,0,0,0,0,0,0
136,key_chain,,0,0,0,0,0,0,0,0,0,0
137,key_chain,Average,0,0,0,0,0,0,0,0,0,0
138,knife,spread_butter,0.027,0.033,0.05,0.013,0.098,0.05,0.088,0.115,0.005,0.153
139,knife,spread_peanut_butter,-0.039,0.144,0.002,-0.017,0.105,-0.006,0.022,0.166,-0.019,0.123
140,knife,cut,0.011,0.182,-0.034,-0.089,0.008,0.059,0.477,0.087,-0.035,0.034
141,knife,butter_bread,-0.02,-0.037,0.014,-0.008,0.005,0.335,0.055,-0.037,-0.025,0.048
142,knife,cut_that_apple,0.006,0.051,-0.022,0.16,-0.05,0.017,0.051,0.069,0.044,-0.143
143,knife,Average,-0.003,0.0746,0.002,0.0118,0.0332,0.091,0.1386,0.08,-0.006,0.043
144,ladle,,0,0,0,0,0,0,0,0,0,0
145,ladle,Average,0,0,0,0,0,0,0,0,0,0
146,laptop,,0,0,0,0,0,0,0,0,0,0
147,laptop,Average,0,0,0,0,0,0,0,0,0,0
148,laundry_hamper,,0,0,0,0,0,0,0,0,0,0
149,laundry_hamper,Average,0,0,0,0,0,0,0,0,0,0
150,lettuce,,0,0,0,0,0,0,0,0,0,0
151,lettuce,Average,0,0,0,0,0,0,0,0,0,0
152,light_switch,,0,0,0,0,0,0,0,0,0,0
153,light_switch,Average,0,0,0,0,0,0,0,0,0,0
154,microwave,heat_food,0.016,-0.016,0.064,-0.023,-0.017,0.023,-0.007,-0.097,-0.001,-0.013
155,microwave,warm_a_cup_of_milk,0.006,0.101,0.045,0.065,-0.004,0.104,-0.018,0.035,0.045,0.047
156,microwave,dry_most_liquids,0.011,0.006,0.023,-0.047,0.11,-0.128,0.136,0.037,-0.05,0.057
157,microwave,warm_up_your_coffee,-0.027,-0.018,-0.043,0.045,-0.083,0.146,-0.064,0.025,0.144,-0.037
158,microwave,Average,0.0015,0.01825,0.02225,0.01,0.0015,0.03625,0.01175,0,0.0345,0.0135
159,mirror,reflect_images,-0.02,-0.036,0.038,0.091,0.012,-0.02,0.067,-0.066,0.038,-0.06
160,mirror,Average,-0.02,-0.036,0.038,0.091,0.012,-0.02,0.067,-0.066,0.038,-0.06
161,mug,hold_liquid,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
162,mug,Average,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
163,newspaper,list_advertisers,0.047,0.037,-0.007,0.035,0.131,0.03,0.02,0.021,0.018,0.007
164,newspaper,spread_the_news,-0.039,0.144,0.002,-0.017,0.105,-0.006,0.022,0.166,-0.019,0.123
165,newspaper,report_events,0.002,0.018,-0.01,0.009,0.055,0.011,-0.03,-0.022,0.09,-0.036
166,newspaper,announce,0.044,0.007,0.046,-0.016,-0.062,0.051,-0.016,0.137,0.005,0.034
167,newspaper,advertise,0.037,-0.044,0.156,-0.091,0.152,0.011,0.05,0.034,-0.09,-0.001
168,newspaper,Average,0.0182,0.0324,0.0374,-0.016,0.0762,0.0194,0.0092,0.0672,0.0008,0.0254
169,ottoman,,0,0,0,0,0,0,0,0,0,0
170,ottoman,Average,0,0,0,0,0,0,0,0,0,0
171,painting,picture_a_tree,0.066,-0.07,0.1,-0.05,-0.029,-0.058,0.043,-0.017,0.044,-0.058
172,painting,please_a_person,0.027,0.067,0.077,0.074,0.068,-0.018,0.052,0.102,0.054,-0.063
173,painting,prevents_it_from_rusting,0.076,0.004,0.005,0.03,0.047,0.011,0.007,0.009,0.029,-0.03
174,painting,Average,0.056333333,0.000333333,0.060666667,0.018,0.028666667,-0.021666667,0.034,0.031333333,0.042333333,-0.050333333
175,pan,,0,0,0,0,0,0,0,0,0,0
176,pan,Average,0,0,0,0,0,0,0,0,0,0
177,paper_towel_roll,,0,0,0,0,0,0,0,0,0,0
178,paper_towel_roll,Average,0,0,0,0,0,0,0,0,0,0
179,pen,mark_a_sheet_of_paper,-0.061,0.014,-0.07,0.057,0.027,0.09,0.04,-0.027,-0.027,0.022
180,pen,mark_the_spot,-0.061,0.014,-0.07,0.057,0.027,0.09,0.04,-0.027,-0.027,0.022
181,pen,be_different_colors,0.085,-0.067,-0.016,0.032,0.03,-0.016,-0.045,-0.028,0.206,-0.022
182,pen,Average,-0.012333333,-0.013,-0.052,0.048666667,0.028,0.054666667,0.011666667,-0.027333333,0.050666667,0.007333333
183,pencil,mark_a_paper,-0.061,0.014,-0.07,0.057,0.027,0.09,0.04,-0.027,-0.027,0.022
184,pencil,shade_a_sketch,-0.012,0.019,-0.047,-0.011,-0.001,0.032,0.015,-0.054,0.114,-0.125
185,pencil,last_for_awhile,-0.04,-0.013,0.06,-0.059,0.063,-0.042,-0.002,-0.053,0.157,-0.036
186,pencil,leave_marks_on_paper,0.054,0.05,0.082,-0.017,0.012,0.077,0.1,0.071,0.084,0.14
187,pencil,mark_a_piece_of_paper,-0.061,0.014,-0.07,0.057,0.027,0.09,0.04,-0.027,-0.027,0.022
188,pencil,Average,-0.024,0.0168,-0.009,0.0054,0.0256,0.0494,0.0386,-0.018,0.0602,0.0046
189,pepper_shaker,,0,0,0,0,0,0,0,0,0,0
190,pepper_shaker,Average,0,0,0,0,0,0,0,0,0,0
191,pillow,,0,0,0,0,0,0,0,0,0,0
192,pillow,Average,0,0,0,0,0,0,0,0,0,0
193,plate,,0,0,0,0,0,0,0,0,0,0
194,plate,Average,0,0,0,0,0,0,0,0,0,0
195,plunger,,0,0,0,0,0,0,0,0,0,0
196,plunger,Average,0,0,0,0,0,0,0,0,0,0
197,poster,,0,0,0,0,0,0,0,0,0,0
198,poster,Average,0,0,0,0,0,0,0,0,0,0
199,pot,cloud_your_memory,-0.068,-0.058,0.001,-0.02,0.113,-0.002,0.009,0.094,-0.069,0.168
200,pot,cloud_minds,-0.068,-0.058,0.001,-0.02,0.113,-0.002,0.009,0.094,-0.069,0.168
201,pot,Average,-0.068,-0.058,0.001,-0.02,0.113,-0.002,0.009,0.094,-0.069,0.168
202,potato,taste_good,0.016,-0.048,0.062,0.055,0.007,0.019,0.037,0.107,-0.09,-0.022
203,potato,Average,0.016,-0.048,0.062,0.055,0.007,0.019,0.037,0.107,-0.09,-0.022
204,remote_control,,0,0,0,0,0,0,0,0,0,0
205,remote_control,Average,0,0,0,0,0,0,0,0,0,0
206,room_decor,,0,0,0,0,0,0,0,0,0,0
207,room_decor,Average,0,0,0,0,0,0,0,0,0,0
208,safe,,0,0,0,0,0,0,0,0,0,0
209,safe,Average,0,0,0,0,0,0,0,0,0,0
210,salt_shaker,,0,0,0,0,0,0,0,0,0,0
211,salt_shaker,Average,0,0,0,0,0,0,0,0,0,0
212,scrub_brush,,0,0,0,0,0,0,0,0,0,0
213,scrub_brush,Average,0,0,0,0,0,0,0,0,0,0
214,shelf,hold_some_books,0.004,0.015,0.031,0.046,-0.013,-0.003,-0.095,-0.053,0.054,0.075
215,shelf,be_in_a_closet,-0.064,-0.082,0.055,-0.023,0.123,-0.041,-0.042,-0.053,0.16,-0.049
216,shelf,Average,-0.03,-0.0335,0.043,0.0115,0.055,-0.022,-0.0685,-0.053,0.107,0.013
217,shelving_unit,,0,0,0,0,0,0,0,0,0,0
218,shelving_unit,Average,0,0,0,0,0,0,0,0,0,0
219,shower_curtain,move,0.112,0.031,-0.011,0.015,-0.011,0.027,0.029,0.011,-0.013,1
220,shower_curtain,Average,0.112,0.031,-0.011,0.015,-0.011,0.027,0.029,0.011,-0.013,1
221,shower_door,,0,0,0,0,0,0,0,0,0,0
222,shower_door,Average,0,0,0,0,0,0,0,0,0,0
223,shower_glass,,0,0,0,0,0,0,0,0,0,0
224,shower_glass,Average,0,0,0,0,0,0,0,0,0,0
225,shower_head,,0,0,0,0,0,0,0,0,0,0
226,shower_head,Average,0,0,0,0,0,0,0,0,0,0
227,side_table,,0,0,0,0,0,0,0,0,0,0
228,side_table,Average,0,0,0,0,0,0,0,0,0,0
229,sink,,0,0,0,0,0,0,0,0,0,0
230,sink,Average,0,0,0,0,0,0,0,0,0,0
231,sink_basin,,0,0,0,0,0,0,0,0,0,0
232,sink_basin,Average,0,0,0,0,0,0,0,0,0,0
233,soap_bar,,0,0,0,0,0,0,0,0,0,0
234,soap_bar,Average,0,0,0,0,0,0,0,0,0,0
235,soap_bottle,,0,0,0,0,0,0,0,0,0,0
236,soap_bottle,Average,0,0,0,0,0,0,0,0,0,0
237,sofa,,0,0,0,0,0,0,0,0,0,0
238,sofa,Average,0,0,0,0,0,0,0,0,0,0
239,spatula,,0,0,0,0,0,0,0,0,0,0
240,spatula,Average,0,0,0,0,0,0,0,0,0,0
241,spoon,be_use_to_eat_soup,0,-0.056,0.021,0.047,0.099,-0.039,-0.058,-0.02,0.276,-0.003
242,spoon,hold_dozens_of_pieces_of_rice,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
243,spoon,eat_with,-0.039,0.053,-0.014,0.072,0.013,0.103,0.016,-0.007,0.043,0.032
244,spoon,Average,-0.001333333,-0.004,0.013666667,0.074666667,0.034333333,0.022666667,-0.029666667,-0.024,0.176666667,0.014333333
245,spray_bottle,,0,0,0,0,0,0,0,0,0,0
246,spray_bottle,Average,0,0,0,0,0,0,0,0,0,0
247,statue,stay_in_one_place,0.047,0.086,0.089,0.002,0.081,0.042,-0.088,-0.025,0.139,0.123
248,statue,Average,0.047,0.086,0.089,0.002,0.081,0.042,-0.088,-0.025,0.139,0.123
249,stool,,0,0,0,0,0,0,0,0,0,0
250,stool,Average,0,0,0,0,0,0,0,0,0,0
251,stove_burner,heat_a_pot_of_water,0.016,-0.016,0.064,-0.023,-0.017,0.023,-0.007,-0.097,-0.001,-0.013
252,stove_burner,Average,0.016,-0.016,0.064,-0.023,-0.017,0.023,-0.007,-0.097,-0.001,-0.013
253,stove_knob,,0,0,0,0,0,0,0,0,0,0
254,stove_knob,Average,0,0,0,0,0,0,0,0,0,0
255,table_top_decor,,0,0,0,0,0,0,0,0,0,0
256,table_top_decor,Average,0,0,0,0,0,0,0,0,0,0
257,target_circle,,0,0,0,0,0,0,0,0,0,0
258,target_circle,Average,0,0,0,0,0,0,0,0,0,0
259,teddy_bear,,0,0,0,0,0,0,0,0,0,0
260,teddy_bear,Average,0,0,0,0,0,0,0,0,0,0
261,television,reach_millions,0.028,0.039,0.01,0.064,0.091,-0.053,-0.097,-0.066,0.29,0.043
262,television,be_unplugged,0,-0.056,0.021,0.047,0.099,-0.039,-0.058,-0.02,0.276,-0.003
263,television,show_images,0.089,0.016,-0.003,-0.086,0.086,-0.009,-0.042,0.08,0.116,0.024
264,television,watch_the_news,-0.063,0.055,0.06,0.087,-0.002,0.001,-0.028,-0.004,0.166,-0.009
265,television,Average,0.0135,0.0135,0.022,0.028,0.0685,-0.025,-0.05625,-0.0025,0.212,0.01375
266,tennis_racket,,0,0,0,0,0,0,0,0,0,0
267,tennis_racket,Average,0,0,0,0,0,0,0,0,0,0
268,tissue_box,,0,0,0,0,0,0,0,0,0,0
269,tissue_box,Average,0,0,0,0,0,0,0,0,0,0
270,toaster,brown_toast,-0.038,0.055,-0.01,0.015,-0.04,0.035,0.061,0.007,-0.024,-0.078
271,toaster,brown_bread,-0.021,0.047,-0.026,0.006,0.035,-0.01,-0.024,0.11,0.073,-0.084
272,toaster,Average,-0.0295,0.051,-0.018,0.0105,-0.0025,0.0125,0.0185,0.0585,0.0245,-0.081
273,toilet,flush,0.024,0.01,0.057,0.069,0.022,-0.014,0.02,-0.018,-0.01,-0.016
274,toilet,smell_bad,-0.1,-0.054,-0.003,0.043,-0.033,-0.019,-0.002,-0.054,0.115,0.084
275,toilet,refill,-0.081,0.075,0.07,0.003,0.038,-0.073,-0.042,0.054,0.088,-0.023
276,toilet,Average,-0.052333333,0.010333333,0.041333333,0.038333333,0.009,-0.035333333,-0.008,-0.006,0.064333333,0.015
277,toilet_paper,,0,0,0,0,0,0,0,0,0,0
278,toilet_paper,Average,0,0,0,0,0,0,0,0,0,0
279,toilet_paper_hanger,,0,0,0,0,0,0,0,0,0,0
280,toilet_paper_hanger,Average,0,0,0,0,0,0,0,0,0,0
281,tomato,,0,0,0,0,0,0,0,0,0,0
282,tomato,Average,0,0,0,0,0,0,0,0,0,0
283,towel,dry_hair,-0.104,0.035,0.121,0.134,-0.023,-0.014,-0.026,0.069,0.127,-0.002
284,towel,dry_your_body,-0.104,0.035,0.121,0.134,-0.023,-0.014,-0.026,0.069,0.127,-0.002
285,towel,dry_the_dishes,-0.104,0.035,0.121,0.134,-0.023,-0.014,-0.026,0.069,0.127,-0.002
286,towel,dry_spilled_milk,-0.116,0.221,0.029,0.016,-0.044,-0.025,-0.021,0.069,0.028,-0.063
287,towel,dry_wet_skin,-0.104,0.035,0.121,0.134,-0.023,-0.014,-0.026,0.069,0.127,-0.002
288,towel,Average,-0.1064,0.0722,0.1026,0.1104,-0.0272,-0.0162,-0.025,0.069,0.1072,-0.0142
289,towel_holder,,0,0,0,0,0,0,0,0,0,0
290,towel_holder,Average,0,0,0,0,0,0,0,0,0,0
291,tv_stand,,0,0,0,0,0,0,0,0,0,0
292,tv_stand,Average,0,0,0,0,0,0,0,0,0,0
293,vacuum_cleaner,short_out,-0.009,0.17,0.07,0.047,0.043,0.064,0.109,-0.008,0.076,-0.052
294,vacuum_cleaner,Average,-0.009,0.17,0.07,0.047,0.043,0.064,0.109,-0.008,0.076,-0.052
295,vase,hold_flower,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
296,vase,fall_off_a_shelf,0.068,0.062,-0.024,0.024,0.001,-0.039,-0.068,-0.002,0.177,0.095
297,vase,Average,0.0515,0.0265,0.005,0.0645,-0.004,-0.0175,-0.0575,-0.0235,0.194,0.0545
298,watch,time_events,0.033,0.143,0.047,-0.002,0.09,0.081,0.092,0.027,0.128,-0.046
299,watch,time_an_event,0.033,0.143,0.047,-0.002,0.09,0.081,0.092,0.027,0.128,-0.046
300,watch,time_a_race,0.033,0.143,0.047,-0.002,0.09,0.081,0.092,0.027,0.128,-0.046
301,watch,be_many_colours,0.029,-0.058,0.005,-0.046,0.095,-0.054,-0.02,0.036,0.232,0.02
302,watch,_including_brown,0,0,0,0,0,0,0,0,0,0
303,watch,Average,0.0256,0.0742,0.0292,-0.0104,0.073,0.0378,0.0512,0.0234,0.1232,-0.0236
304,watering_can,,0,0,0,0,0,0,0,0,0,0
305,watering_can,Average,0,0,0,0,0,0,0,0,0,0
306,window,let_in_a_beam_of_light,0.083,0.085,0.148,0.033,0.004,0.021,0.028,0.126,0.061,0.033
307,window,stick_open,0.032,-0.034,-0.049,-0.026,0.152,-0.041,0.023,-0.008,-0.068,0.022
308,window,face_the_mountains,0.033,-0.069,0.004,-0.08,0.056,-0.059,-0.081,0.022,0.228,-0.109
